00000000) lambda - 1946.62085; bpp - 0.00124; dists - 0.23096; rdloss - 2.65048; perceptual_64INITIAL - 220.14928; perceptual_256FINAL - 171.00221; gen_gan - 0.43324; feature_matching - 9.14042; disc_gan - 0.73562
00000001) lambda - 1946.62085; bpp - 0.00101; dists - 0.20889; rdloss - 2.18125; perceptual_64INITIAL - 200.52884; perceptual_256FINAL - 160.11043; gen_gan - 0.31734; feature_matching - 8.27109; disc_gan - 0.46813
00000002) lambda - 1946.62085; bpp - 0.00086; dists - 0.19980; rdloss - 1.86510; perceptual_64INITIAL - 190.29283; perceptual_256FINAL - 155.76865; gen_gan - 0.38595; feature_matching - 8.12516; disc_gan - 0.41286
00000003) lambda - 1946.62085; bpp - 0.00080; dists - 0.19337; rdloss - 1.74327; perceptual_64INITIAL - 183.43883; perceptual_256FINAL - 151.50119; gen_gan - 0.45133; feature_matching - 7.65883; disc_gan - 0.36699
00000004) lambda - 1946.62085; bpp - 0.00082; dists - 0.18182; rdloss - 1.78139; perceptual_64INITIAL - 177.61859; perceptual_256FINAL - 147.12099; gen_gan - 0.47857; feature_matching - 7.28677; disc_gan - 0.35226
00000005) lambda - 1946.62085; bpp - 0.00086; dists - 0.17806; rdloss - 1.85561; perceptual_64INITIAL - 174.84012; perceptual_256FINAL - 143.31870; gen_gan - 0.49227; feature_matching - 7.05614; disc_gan - 0.34591
00000006) lambda - 1946.62085; bpp - 0.00090; dists - 0.17340; rdloss - 1.92358; perceptual_64INITIAL - 171.48438; perceptual_256FINAL - 139.77325; gen_gan - 0.50025; feature_matching - 6.86123; disc_gan - 0.34026
00000007) lambda - 1946.62085; bpp - 0.00093; dists - 0.17456; rdloss - 1.98933; perceptual_64INITIAL - 169.92029; perceptual_256FINAL - 138.38519; gen_gan - 0.42452; feature_matching - 6.16275; disc_gan - 0.40263
00000008) lambda - 1946.62085; bpp - 0.00097; dists - 0.16655; rdloss - 2.05071; perceptual_64INITIAL - 168.10350; perceptual_256FINAL - 134.83060; gen_gan - 0.49265; feature_matching - 6.30281; disc_gan - 0.33917
00000009) lambda - 1946.62085; bpp - 0.00100; dists - 0.16493; rdloss - 2.11434; perceptual_64INITIAL - 165.81425; perceptual_256FINAL - 132.67313; gen_gan - 0.50358; feature_matching - 6.27465; disc_gan - 0.33405
00000010) lambda - 1946.62085; bpp - 0.00102; dists - 0.16055; rdloss - 2.14355; perceptual_64INITIAL - 163.54947; perceptual_256FINAL - 129.67793; gen_gan - 0.50232; feature_matching - 6.12252; disc_gan - 0.33440
00000011) lambda - 1946.62085; bpp - 0.00104; dists - 0.15520; rdloss - 2.18225; perceptual_64INITIAL - 164.89439; perceptual_256FINAL - 128.59210; gen_gan - 0.50392; feature_matching - 6.13907; disc_gan - 0.33371
00000012) lambda - 1946.62085; bpp - 0.00105; dists - 0.15739; rdloss - 2.20615; perceptual_64INITIAL - 162.15742; perceptual_256FINAL - 127.22794; gen_gan - 0.50324; feature_matching - 6.10738; disc_gan - 0.33405
00000013) lambda - 1946.62085; bpp - 0.00106; dists - 0.15722; rdloss - 2.22508; perceptual_64INITIAL - 159.87486; perceptual_256FINAL - 124.97543; gen_gan - 0.43721; feature_matching - 5.50276; disc_gan - 0.38384
00000014) lambda - 1946.62085; bpp - 0.00107; dists - 0.15134; rdloss - 2.23681; perceptual_64INITIAL - 159.53600; perceptual_256FINAL - 125.09826; gen_gan - 0.48819; feature_matching - 5.80121; disc_gan - 0.34253
00000015) lambda - 1946.62085; bpp - 0.00109; dists - 0.15264; rdloss - 2.26692; perceptual_64INITIAL - 159.82001; perceptual_256FINAL - 124.83820; gen_gan - 0.49605; feature_matching - 5.89984; disc_gan - 0.33813
